ECTRL_ID,Nr_Crt,Sequence_Number,Time_Over,Flight_Level,Latitude,Longitude
246013605,1,0,31.08.2021 23:41,0,69.68139,18.91778
246013605,1,1,31.08.2021 23:51,0,69.68139,18.91778
246013605,1,2,31.08.2021 23:53,67,69.57583,18.84778
246013605,1,3,31.08.2021 23:56,152,69.33083,18.48611
246013605,1,4,01.09.2021 00:01,246,68.89639,17.95556
246013605,1,5,01.09.2021 00:11,332,67.875,16.44139
246013605,1,6,01.09.2021 00:30,360,65.77333,13.94472
246013605,1,7,01.09.2021 00:44,360,63.9775,12.32139
246013605,1,8,01.09.2021 00:49,360,63.34917,11.805
246013605,1,9,01.09.2021 00:58,360,62,11.94028
246013605,1,10,01.09.2021 01:01,360,61.60528,11.64722
246013605,1,11,01.09.2021 01:13,90,60.19167,11.07445
246013605,1,12,01.09.2021 01:17,48,60.02639,11.14472
246013605,1,13,01.09.2021 01:19,26,60.07695,11.01111
246013605,1,14,01.09.2021 01:22,0,60.20278,11.08389
246013867,2,0,01.09.2021 06:19,0,69.68139,18.91778
246013867,2,1,01.09.2021 06:29,0,69.68139,18.91778
246013867,2,2,01.09.2021 06:31,50,69.57583,18.84778
246013867,2,3,01.09.2021 06:35,157,69.39806,18.01778
246013867,2,4,01.09.2021 06:38,227,69.265,17.33778
246013867,2,5,01.09.2021 06:48,340,67.875,16.44139
246013867,2,6,01.09.2021 06:59,340,66.36667,15.75
246013867,2,7,01.09.2021 07:02,340,66.08333,15.63333
246013867,2,8,01.09.2021 07:11,340,64.82083,14.7275
246013867,2,9,01.09.2021 07:17,340,63.99639,14.24361
246013867,2,10,01.09.2021 07:28,340,62.39528,13.20139
246013867,2,11,01.09.2021 07:35,309,61.49972,12.66778
246013867,2,12,01.09.2021 07:39,235,61.01389,12.21667
246013867,2,13,01.09.2021 07:41,192,60.81917,11.98972
246013867,2,14,01.09.2021 07:43,154,60.65111,11.79556
246013867,2,15,01.09.2021 07:46,99,60.42139,11.40278
